Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
JUMPCODE GENOMICS INC,[Not Available],[Not Available],Jumpcode Genomics Inc focuses on genomic analysis and technologies.,[Not Available],Genomics,No,Yes,Yes,No
JUNCTUCELL BIOMED MFG GMBH,[Not Available],[Not Available],Junctucell Biomed MFG GmbH specializes in the manufacture of biomedical products.,[Not Available],Biomedical Manufacturing,No,Yes,No,No
JUNEN CELL CO LTD,[Not Available],[Not Available],Junen Cell Co Ltd focuses on cell biology research and development.,[Not Available],Cell Biology,No,Yes,Yes,No
JUNO THERAPEUTICS INC,[Not Available],[Not Available],Juno Therapeutics Inc specializes in cellular immunotherapy and cancer treatments.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
JUPITER WELLNESS INC,[Not Available],[Not Available],Jupiter Wellness Inc focuses on wellness and health-related products.,[Not Available],Health & Wellness,No,Yes,No,No
JUWON E & S CO LTD,[Not Available],[Not Available],Juwon E & S Co Ltd specializes in engineering and environmental solutions.,[Not Available],Engineering & Environmental,No,Yes,No,No
JVC KENWOOD CORP,[Not Available],[Not Available],JVC Kenwood Corp is involved in electronics and communication systems.,[Not Available],Electronics,No,Yes,No,No
JVG CO LTD,[Not Available],[Not Available],JVG Co Ltd focuses on various industrial and technological solutions.,[Not Available],Industrial Technology,No,Yes,No,No
JVS PROD LTD,[Not Available],[Not Available],JVS Prod Ltd specializes in production and manufacturing solutions.,[Not Available],Manufacturing,No,Yes,No,No
JW PHARM CORP,[Not Available],[Not Available],JW Pharm Corp focuses on pharmaceutical products and innovations.,[Not Available],Pharmaceuticals,No,Yes,No,No
JYOTHY LAB LTD,[Not Available],[Not Available],Jyothy Lab Ltd specializes in laboratory services and research.,[Not Available],Laboratory Services,No,Yes,No,No
K FUSION TECHNOLOGY INC,[Not Available],[Not Available],K Fusion Technology Inc focuses on technological solutions and innovations.,[Not Available],Technology,No,Yes,No,No
K RAISE CO LTD,[Not Available],[Not Available],K Raise Co Ltd specializes in various industrial and technological solutions.,[Not Available],Industrial Technology,No,Yes,No,No
K-AMBIENTE CO LTD,[Not Available],[Not Available],K-Ambiente Co Ltd focuses on environmental and sustainable technologies.,[Not Available],Environmental Technology,No,Yes,No,No
K-BIO CELF INC,[Not Available],[Not Available],K-Bio Celf Inc focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,No,No
K-GEN THERAPEUTICS INC,[Not Available],[Not Available],K-Gen Therapeutics Inc specializes in therapeutic drug development and research.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
K-RAYS INC,[Not Available],[Not Available],K-Rays Inc focuses on radiology and imaging technology.,[Not Available],Radiology,No,Yes,No,No
K-SOLUTIONS GMBH,[Not Available],[Not Available],K-Solutions GmbH provides solutions in technology and industrial services.,[Not Available],Industrial Technology,No,Yes,No,No
K2 SOLUTIONS INC,[Not Available],[Not Available],K2 Solutions Inc specializes in technological and business solutions.,[Not Available],Technology & Business Solutions,No,Yes,No,No
K2B THERAPEUTICS INC,[Not Available],[Not Available],K2B Therapeutics Inc is involved in the development of new therapeutic solutions.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
KABUSHIKI GAI SHAWAIO CORP,[Not Available],[Not Available],"Kabushiki Gai Shawaio Corp operates in various industrial sectors, including biotechnology.",[Not Available],Industrial & Biotechnology,No,Yes,No,No
KADIMASTEM LTD,[Not Available],[Not Available],Kadimastem Ltd specializes in stem cell research and regenerative medicine.,[Not Available],Stem Cell Research,No,Yes,Yes,No
KAFTAN TEKNOLOJI SANAYI & YATIRIMLAR AS,[Not Available],[Not Available],Kaftan Teknoloji Sanayi & YatÄ±rÄ±mlar AS focuses on technology and industrial investments.,[Not Available],Technology & Investments,No,Yes,No,No
KAGAMI INC,[Not Available],[Not Available],Kagami Inc specializes in various industrial and technological solutions.,[Not Available],Industrial Technology,No,Yes,No,No
KAICO LTD,[Not Available],[Not Available],Kaico Ltd focuses on industrial and technological development.,[Not Available],Industrial Technology,No,Yes,No,No
KAIRUI CHUANGXIN PHARM SCI & TECHNOLOGY,[Not Available],[Not Available],Kairui Chuangxin Pharm Sci & Technology specializes in pharmaceutical science and technology.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
KALEIDO BIOSCIENCES INC,[Not Available],[Not Available],Kaleido Biosciences Inc is involved in microbiome-based therapies and biosciences.,[Not Available],Biosciences,No,Yes,Yes,No
KALI CITY,[Not Available],[Not Available],Kali City specializes in urban solutions and technologies.,[Not Available],Urban Technology,No,Yes,No,No
KALIGIA BIOSCI LLC,[Not Available],[Not Available],Kaligia Biosci LLC focuses on bioscience and biotechnology research.,[Not Available],Biosciences,No,Yes,Yes,No
KALUOSI QIANGHAI NEW ENERGY CO LTD,[Not Available],[Not Available],Kaluosi Qianghai New Energy Co Ltd specializes in new energy technologies.,[Not Available],New Energy,No,Yes,No,No
KAMADA LTD,[Not Available],[Not Available],Kamada Ltd specializes in biopharmaceuticals and drug development.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
KAMAGTECH BIO PHARMA,[Not Available],[Not Available],Kamagtech Bio Pharma focuses on biopharmaceuticals and related technologies.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
KANAHASHI HOLDINGS CO LTD,[Not Available],[Not Available],"Kanahashi Holdings Co Ltd is involved in various business sectors, including technology and industrial solutions.",[Not Available],Industrial Technology,No,Yes,No,No
KANCERA AB,[Not Available],[Not Available],Kancera AB specializes in cancer research and drug development.,[Not Available],Pharmaceuticals,No,Yes,Yes,No
KANEKA CORP,[Not Available],[Not Available],"Kaneka Corp is involved in a wide range of industries including chemicals, pharmaceuticals, and advanced materials.",[Not Available],Chemicals & Pharmaceuticals,No,Yes,No,No
KANGLITAI BIOPHARM QINGDAO CO LTD,[Not Available],"Qingdao, China",Kanglitai Biopharm specializes in biopharmaceuticals and medical research.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
KANGMA SHANGHAI BIOTECHNOLOGY CO LTD,[Not Available],"Shanghai, China",Kangma Shanghai Biotechnology focuses on biotechnology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
KANGMA SHANGHAI MARINE TECHNOLOGY CO LTD,[Not Available],"Shanghai, China",Kangma Shanghai Marine Technology specializes in marine technology and innovations.,[Not Available],Marine Technology,No,Yes,No,No
KANGMA SUZHOU BIOTECHNOLOGY CO LTD,[Not Available],"Suzhou, China",Kangma Suzhou Biotechnology focuses on advanced biotechnology solutions and research.,[Not Available],Biotechnology,No,Yes,Yes,No
KANGMA-HEATHCODE SHANGHAI BIOTECH CO LTD,[Not Available],"Shanghai, China",Kangma-Heathcode Shanghai Biotech specializes in biotechnology and healthcare solutions.,[Not Available],Biotechnology & Healthcare,No,Yes,Yes,No
KANGWEI ZHONGHE ZHONGSHAN BIOPHARM CO LTD,[Not Available],"Zhongshan, China",Kangwei Zhonghe Zhongshan Biopharm focuses on biopharmaceuticals and drug development.,[Not Available],Biopharmaceuticals,No,Yes,Yes,No
KANT AI SOLUTIONS LLC,[Not Available],[Not Available],Kant AI Solutions LLC specializes in artificial intelligence solutions and technologies.,[Not Available],Artificial Intelligence,No,Yes,No,No
KANTKOWSKI FIRMA KOMPUTEROWA KOMSPEC,[Not Available],[Not Available],Kantkowski Firma Komputerowa Komspec is involved in computer technology and solutions.,[Not Available],Computer Technology,No,Yes,No,No
KANTO CHEM CO INC,[Not Available],[Not Available],Kanto Chem Co Inc specializes in chemical manufacturing and supply.,[Not Available],Chemicals,No,Yes,No,No
KANTO GAKUIN,[Not Available],[Not Available],Kanto Gakuin is an educational institution focusing on a variety of academic disciplines.,[Not Available],Education,No,No,No,No
KANTO KAGAKU KK,[Not Available],[Not Available],Kanto Kagaku KK focuses on chemical products and technologies.,[Not Available],Chemicals,No,Yes,No,No
KANTONSSPITAL ST GALLEN,[Not Available],"St. Gallen, Switzerland",Kantonsspital St Gallen is a hospital providing comprehensive medical care.,[Not Available],Healthcare,Yes,No,No,Yes
KAO CORP,[Not Available],[Not Available],"Kao Corp specializes in consumer goods, including healthcare and beauty products.",[Not Available],Consumer Goods,No,Yes,No,No
KARAM SAFETY PRIVATE LTD,[Not Available],[Not Available],Karam Safety Private Ltd focuses on safety equipment and solutions.,[Not Available],Safety Equipment,No,Yes,No,No
KARAMAN MERKEZ ORTAOKUL FATIH EGITIM CALISANLARI,[Not Available],[Not Available],Karaman Merkez Ortaokul Fatih EÄitim ÃalÄ±ÅanlarÄ± is an educational institution focusing on middle school education.,[Not Available],Education,No,No,No,No
KARIUS INC,[Not Available],[Not Available],Karius Inc specializes in diagnostic solutions for infectious diseases.,[Not Available],Diagnostics,No,Yes,Yes,No
KARNATAKA HYBRID MICRO DEVICES LTD,[Not Available],[Not Available],Karnataka Hybrid Micro Devices Ltd focuses on microelectronic devices and hybrid technologies.,[Not Available],Microelectronics,No,Yes,No,No
KARPAGA VINAYAGA ENG & TECHNOLOGY COLLEG,[Not Available],[Not Available],Karpaga Vinayaga Engineering & Technology College provides education in engineering and technology.,[Not Available],Education,No,No,No,No
KARUIJI BEIJING LIFE TECHNOLOGY CO LTD,[Not Available],"Beijing, China",Karuiji Beijing Life Technology specializes in life sciences and technology innovations.,[Not Available],Life Sciences & Technology,No,Yes,Yes,No
KARYOPHARM THERAPEUTICS INC,[Not Available],[Not Available],Karyopharm Therapeutics Inc focuses on the development of novel therapeutics for cancer and other serious diseases.,[Not Available],Pharmaceuticals,No,Yes,No,No
KASHIV BIOSCIENCES LLC,[Not Available],[Not Available],Kashiv Biosciences LLC specializes in the development and commercialization of biosimilar products.,[Not Available],Biotechnology,No,Yes,No,No
KASTURBA HOSPITAL,[Not Available],[Not Available],Kasturba Hospital provides healthcare services including medical treatment and patient care.,[Not Available],Healthcare,No,No,No,Yes
KATHARSIS TECHNOLOGIES INC,[Not Available],[Not Available],"Katharsis Technologies Inc focuses on advanced technologies and solutions, possibly in the healthcare or biotech sectors.",[Not Available],Technology,No,Yes,No,No
KATORI KK,[Not Available],[Not Available],"Katori KK is involved in various industries, potentially including manufacturing or technology.",[Not Available],Manufacturing,No,Yes,No,No
KAVIYARAJ R,[Not Available],[Not Available],"Kaviyaraj R may be an individual or a company involved in consultancy or services, specifics are unclear.",[Not Available],[Not Available],No,No,No,No
KAWAKAMI SANGYO CO LTD,[Not Available],[Not Available],"Kawakami Sangyo Co Ltd is involved in various industrial activities, specifics are unclear.",[Not Available],Industrial Manufacturing,No,Yes,No,No
KAWASAKI HEAVY IND LTD,[Not Available],[Not Available],Kawasaki Heavy Industries Ltd specializes in heavy machinery and industrial equipment.,[Not Available],Heavy Industry,No,Yes,No,No
KAWASAKI JUKOGYO KK,[Not Available],[Not Available],"Kawasaki Jukogyo KK is involved in various industrial activities, possibly related to machinery or technology.",[Not Available],Industrial Manufacturing,No,Yes,No,No
KAWASHIMA CO LTD,[Not Available],[Not Available],Kawashima Co Ltd is involved in manufacturing or technology sectors.,[Not Available],Manufacturing,No,Yes,No,No
KAWASHIMA NAMEPLATE CO LTD,[Not Available],[Not Available],Kawashima Nameplate Co Ltd specializes in nameplate manufacturing and related products.,[Not Available],Manufacturing,No,Yes,No,No
KAWASHIMA SHOJI KK,[Not Available],[Not Available],Kawashima Shoji KK is involved in trading or manufacturing activities.,[Not Available],Trading,No,Yes,No,No
KBF CO LTD,[Not Available],[Not Available],KBF Co Ltd operates in various industrial or commercial sectors.,[Not Available],[Not Available],No,Yes,No,No
KBHB CONSULT GMBH,[Not Available],[Not Available],"KBHB Consult GmbH is involved in consulting services, potentially in biotechnology or healthcare.",[Not Available],Consulting,No,Yes,No,No
KBIO HOLDINGS LTD,[Not Available],[Not Available],"KBio Holdings Ltd is involved in the biotechnology sector, focusing on various biotechnological innovations.",[Not Available],Biotechnology,No,Yes,No,No
KC & C CO LTD,[Not Available],[Not Available],KC & C Co Ltd operates in manufacturing or industrial sectors.,[Not Available],Manufacturing,No,Yes,No,No
KCAV CO LTD,[Not Available],[Not Available],KCAV Co Ltd focuses on technology or industrial products.,[Not Available],Technology,No,Yes,No,No
KD BIO CO LTD,[Not Available],[Not Available],KD Bio Co Ltd specializes in biotechnology and medical research.,[Not Available],Biotechnology,No,Yes,Yes,No
KD SWISS GMBH,[Not Available],[Not Available],"KD Swiss GmbH operates in the Swiss market, focusing on various industries, including technology or pharmaceuticals.",[Not Available],[Not Available],No,Yes,No,No
KE-I KK,[Not Available],[Not Available],KE-I KK is involved in industrial or technological sectors.,[Not Available],Industrial Manufacturing,No,Yes,No,No
KEIYO GAS ENERGY SOLUTION CO LTD,[Not Available],[Not Available],Keiyo Gas Energy Solution Co Ltd specializes in energy solutions and services related to gas.,[Not Available],Energy,No,Yes,No,No
KELSIUS LAB LLC,[Not Available],[Not Available],"Kelsius Lab LLC focuses on laboratory services and innovations, possibly in the field of biotechnology or pharmaceuticals.",[Not Available],Laboratory Services,No,Yes,No,No
KEMIJSKI INST NAT INST CHEM,[Not Available],[Not Available],Kemiijski Institut is a national institute specializing in chemistry research and development.,[Not Available],Research,Yes,No,Yes,No
KEMINNTEK LAB,[Not Available],[Not Available],Keminntek Lab focuses on research and development in the field of biotechnology or pharmaceuticals.,[Not Available],Biotechnology,No,Yes,No,No
KENALL MFG CO,[Not Available],[Not Available],Kenall Manufacturing Co specializes in the production of industrial and commercial lighting solutions.,[Not Available],Manufacturing,No,Yes,No,No
KENSO INC,[Not Available],[Not Available],"Kenso Inc is involved in various sectors, including technology or biotechnology.",[Not Available],[Not Available],No,Yes,No,No
KENTUCKY BIOPROCESSING INC,[Not Available],[Not Available],Kentucky Bioprocessing Inc focuses on bioprocessing and the development of biopharmaceuticals.,[Not Available],Biotechnology,No,Yes,No,No
KEPHERA DIAGNOSTICS LLC,[Not Available],[Not Available],Kephera Diagnostics LLC specializes in diagnostic technologies and services.,[Not Available],Diagnostics,No,Yes,No,No
KEPOLISIAN NEGARA REPUBLIK INDONESIA,[Not Available],[Not Available],"Kepolisian Negara Republik Indonesia refers to the National Police of the Republic of Indonesia, responsible for maintaining public order and safety.",[Not Available],Law Enforcement,Yes,No,No,No
KETO INNOVATIONS LLC,[Not Available],[Not Available],Keto Innovations LLC focuses on innovations related to ketogenic diets and health solutions.,[Not Available],Health & Wellness,No,Yes,No,No
KETONEAID INC,[Not Available],[Not Available],KetoneAid Inc specializes in products and solutions related to ketogenic diets and ketone supplements.,[Not Available],Health & Wellness,No,Yes,No,No
KEWPIE CORP,[Not Available],[Not Available],"Kewpie Corp is known for its food products, including mayonnaise and other condiments.",[Not Available],Food & Beverages,No,Yes,No,No
KEY4EVENTS,[Not Available],[Not Available],Key4Events is likely involved in event management or related services.,[Not Available],Event Management,No,Yes,No,No
KEYMED BIOSCI CO LTD,[Not Available],[Not Available],Keymed Biosci Co Ltd specializes in bioscience and biotechnology products.,[Not Available],Biotechnology,No,Yes,No,No
KHANH THIEN MEDICINE STOCK CO,[Not Available],[Not Available],Khanh Thien Medicine Stock Co focuses on pharmaceuticals and medical products.,[Not Available],Pharmaceuticals,No,Yes,No,No
KHAV CO LTD,[Not Available],[Not Available],"KHAV Co Ltd is involved in various industries, possibly including technology or manufacturing.",[Not Available],[Not Available],No,Yes,No,No
KHR BIOTEC GMBH,[Not Available],[Not Available],KHR Biotec GmbH specializes in biotechnology and medical technology solutions.,[Not Available],Biotechnology,No,Yes,No,No
KIA CORP,[Not Available],[Not Available],KIA Corp is known for its automotive products and services.,[Not Available],Automotive,No,Yes,No,No
KIADIS PHARMA INTELLECTUAL PROPERTY BV,[Not Available],[Not Available],Kiadis Pharma Intellectual Property BV focuses on the management and protection of intellectual property related to pharmaceuticals.,[Not Available],Intellectual Property,No,Yes,No,No
